input_path,labels
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/10_17.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_37.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_104.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_31.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/t-05Atopic2.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/1_36.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_152.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/1_73.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_209.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_305.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/10_30.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/10_44.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/t-05Atopic1206046.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/10_35.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/1_55.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_266.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_160.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/5_2.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/2_34.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_271.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/10_10.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_208.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/1_61.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/t-05Atopic0712041.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/5_6.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/229_10_3.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/t-05KeratosisPilar1.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_236.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_213.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/1_5.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/9_18.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/9_11.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_273.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/1_82.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_269.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/t-05Atopic1206045.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/t-05AtopicFeet1q.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/t-05Atopic0322042.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/10_16.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_212.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/4_4.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/1_13.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_307.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/1_53.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_3.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/10_33.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_97.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_9.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_297.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/1_45.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/2_31.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_214.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/1_75.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/1_32.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_140.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_252.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/t-03EczemaAreolae021223.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/2_11.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_227.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_193.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_171.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_311.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/4_0.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/t-05Atopic120604.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_274.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/5_7.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_325.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_192.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/8_12.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_290.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/9_13.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_314.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/2_2.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_156.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_232.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_304.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/t-05Atopic0712042.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_180.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_259.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/5_3.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/t-05ATopicAreola.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_93.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/1_62.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/231_10_4.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_34.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_42.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/2_13.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/3_2.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/134_6_26.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/1_76.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/108_6_0.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_320.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/t-05AtopicChild010120.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/8_0.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/121_6_13.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_329.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/9_7.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/1_52.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/t-05AtopicFaceBaby.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/t-05AtopicFossa2q.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_250.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_145.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/10_27.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/1_44.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_178.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/1_81.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_282.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/t-05DennieMorganFolds.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/t-05HyperlinearCreases0126.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_253.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_146.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_136.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_91.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/131_6_23.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/10_2.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/1_7.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_264.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_0.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/10_11.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_261.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/1_66.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_195.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/110_6_2.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_117.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_68.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_285.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_166.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/1_83.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/7_8.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_19.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/10_13.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/1_24.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_235.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_218.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_163.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_53.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/2_19.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_44.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/2_16.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/136_6_29.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_287.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/1_10.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/t-05Atopic010203.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/t-05Atopic0329041.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_5.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/10_43.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/232_10_5.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_272.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_70.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_300.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_292.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_322.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_249.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/10_7.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_14.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_30.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/2_22.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/8_7.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_148.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/10_4.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_134.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_142.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/1_25.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_73.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/132_6_24.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_306.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/116_6_8.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/2_3.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/1_58.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/1_59.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_82.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/10_42.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/1_37.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_47.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_181.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_223.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_312.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/1_49.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/1_29.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/t-03ichthyosis040127.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_63.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/t-03DermatitisLids.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/t-05Atopic0224.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_48.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_78.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_39.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/t-05DryCrackedHeels090803.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/t-05Atopic032204.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/9_14.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_55.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_220.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/2_25.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_241.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_116.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_197.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_60.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/118_6_11.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/2_6.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_228.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_103.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_186.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/8_13.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/t-05AtopicHand3.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/127_6_19.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/9_12.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_172.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_198.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/10_15.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_313.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_256.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/8_1.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/233_10_6.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/t-05KeratosisPilaris051004.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_310.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/10_0.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_89.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_189.jpg,1
